Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
Cop Out,2020,2020-11-19,Friday,Fall,Warner Bros.,The Riddle,Action,< 50,19%,45%,"$5,781",$44.88,$10.64,$55.52,$30.00,185.07%,"-$1,021.00",$25.52,$18.21,"$1,900.00"
Scott Pilgrim vs. the World,2020,2020-11-19,Friday,Fall,Universal,Underdog,Action,50 to 100,81%,83%,"$3,765",$31.52,$16.05,$47.57,$60.00,79.28%,-$912.00,-$12.43,$10.60,"$8,100.00"
A Nightmare on Elm Street,2020,2020-11-19,Friday,Fall,Warner Bros.,Monster Force,Horror,< 50,13%,40%,"$9,875",$63.08,$52.59,$115.67,$35.00,330.49%,$942.00,$80.67,$32.90,"$1,300.00"
Spy Kids: All The Time in the World,2020,2020-11-18,Friday,Fall,Weinstein Company,Quest,Action,< 50,22%,40%,"$3,534",$38.54,$35.54,$74.08,$27.00,274.37%,$840.00,$47.08,$11.64,"$2,200.00"
Apollo 18,2020,2020-11-18,Friday,Fall,Weinstein Company,Monster Force,Horror,< 50,23%,31%,"$2,615",$17.69,$7.88,$25.56,$5.00,511.20%,"$2,006.00",$20.56,$8.70,"$2,300.00"
Everything Must Go,2020,2020-11-16,Wednesday,Fall,Reliance Entertainment,Discovery,Drama,< 50,74%,53%,"$3,652",$2.71,,$2.71,$5.00,54.20%,"$1,861.00",-$2.29,$0.79,"$7,400.00"
The Company Men,2020,2020-11-16,Wednesday,Fall,Weinstein Company,Discovery,Drama,< 50,66%,55%,"$6,111",$4.40,$0.40,$4.80,$15.00,32.00%,$183.00,-$10.20,$0.64,"$6,600.00"
State of Play,2020,2020-11-13,Friday,Fall,Universal,The Riddle,Crime,50 to 100,84%,71%,"$5,020",$37.02,$51.32,$88.30,$60.00,147.17%,-$920.00,$28.30,$14.10,"$8,400.00"
Michael Jackson's This Is It,2020,2020-11-13,Friday,Fall,Sony,Tragedy,Documentary,50 to 100,81%,82%,"$6,675",$72.10,$180.00,$252.10,$60.00,420.17%,"$1,614.00",$192.10,$23.30,"$8,100.00"
The Fourth Kind,2020,2020-11-13,Friday,Fall,Universal,Monster Force,Mystery,< 50,18%,44%,"$4,840",$25.48,$22.22,$47.70,$10.00,477.00%,"$1,006.00",$37.70,$12.20,"$1,800.00"
Sherlock Holmes 2,2020,2020-11-11,Friday,Fall,Warner Bros.,Pursuit,Action,100 to 150,60%,79%,"$10,704",$186.36,$335.60,$521.96,$125.00,417.57%,"$2,201.00",$396.96,$39.63,$600.00
Tower Heist,2020,2020-11-11,Friday,Fall,Relativity,Revenge,Comedy,50 to 100,68%,61%,"$7,135",$78.04,$86.50,$164.54,$75.00,219.39%,"-$1,501.00",$89.54,$24.03,"$6,800.00"
Bridesmaids,2020,2020-11-11,Friday,Fall,Relativity Media,Rivalry,Comedy,< 50,90%,77%,"$8,995",$169.11,$119.28,$288.38,$32.50,887.32%,$571.00,$255.88,$26.25,$900.00
Friday the 13th,2020,2020-11-06,Friday,Fall,Paramount,Monster Force,Horror,< 50,25%,52%,"$13,066",$65.00,$26.40,$91.40,$19.00,481.05%,"$1,124.00",$72.40,$40.60,"$2,500.00"
MacGruber,2020,2020-11-05,Friday,Fall,Independent,Comedy,Action,< 50,47%,33%,"$1,585",$8.53,$0.80,$9.33,$10.00,93.30%,"$1,908.00",-$0.67,$4.00,"$4,700.00"
Clash of the Titans,2020,2020-11-05,Friday,Fall,Warner Bros.,Quest,Action,100 to 150,28%,48%,"$16,213",$163.21,$330.00,$493.21,$125.00,394.57%,"$1,962.00",$368.21,$61.20,"$2,800.00"
Toy Story 3,2020,2020-11-05,Friday,Fall,Disney,Rescue,Animation,> 200,99%,91%,"$27,385",$415.00,$648.16,"$1,063.16",$200.00,531.58%,"$1,150.00",$863.16,$110.30,"$9,900.00"
Puss In Boots,2020,2020-11-04,Friday,Fall,DreamWorks,Quest,Animation,100 to 150,83%,76%,"$8,623",$148.76,$373.50,$522.26,$130.00,401.74%,-$387.00,$392.26,$34.08,"$8,300.00"
A Dangerous Method,2020,2020-11-04,Friday,Fall,Independent,Love,Drama,< 50,79%,89%,,$0.54,$8.44,$8.97,$20.00,44.85%,"-$1,082.00",-$11.03,$0.17,"$7,900.00"
Fright Night,2020,2020-11-04,Friday,Fall,DreamWorks,Rivalry,Horror,< 50,75%,68%,"$2,477",$18.30,$18.80,$37.10,$30.00,123.67%,"$1,574.00",$7.10,$7.71,"$7,500.00"
Astro Boy,2020,2020-10-30,Friday,Fall,Summit,Quest,Animation,50 to 100,49%,53%,"$2,224",$19.55,$24.54,$44.09,$65.00,67.83%,-$359.00,-$20.91,$6.70,"$4,900.00"
Land of the Lost,2020,2020-10-30,Friday,Fall,Universal,Journey and Return,Drama,100 to 150,26%,38%,"$5,350",$49.43,$20.11,$69.54,$100.00,69.54%,"$1,711.00",-$30.46,$18.80,"$2,600.00"
Resident Evil: Afterlife,2020,2020-10-29,Friday,Fall,Highlight Communications,Monster Force,Action,50 to 100,24%,53%,"$8,320",$60.13,$236.09,$296.22,$60.00,493.70%,-$940.00,$236.22,$26.70,"$2,400.00"
The Last Airbender,2020,2020-10-29,Friday,Fall,Paramount,Quest,Action,150 to 200,6%,42%,"$12,725",$131.77,$187.35,$319.12,$150.00,212.75%,"-$1,751.00",$169.12,$40.30,$600.00
Vampires Suck,2020,2020-10-29,Friday,Fall,Independent,Comedy,Comedy,< 50,4%,32%,"$3,774",$36.66,$43.32,$79.98,$20.00,399.90%,-$699.00,$59.98,$12.20,$400.00
For Colored Girls,2020,2020-10-29,Friday,Fall,Independent,Discovery,Drama,< 50,33%,73%,"$9,167",$37.69,$17.32,$55.01,$21.00,261.95%,-$320.00,$34.01,$19.50,"$3,300.00"
All Good Things,2020,2020-10-29,Friday,Fall,Independent,The Riddle,Drama,< 50,33%,64%,"$18,500",$0.58,$0.06,$0.64,$20.00,3.20%,"-$1,651.00",-$19.36,$0.04,"$3,300.00"
Transformers: Dark of the Moon,2020,2020-10-28,Friday,Fall,DreamWorks Pictures,Quest,Action,150 to 200,35%,67%,"$23,937",$352.39,$770.81,"$1,123.20",$195.00,576.00%,"$1,938.00",$928.20,$97.85,"$3,500.00"
