Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
The Tourist,2020,2020-06-04,Friday,Summer,Sony,,Thriller,100 to 150,20%,44%,"$5,977",$67.00,$210.00,$277.00,$100.00,277.00%,"-$1,130.00",$177.00,$16.00,$200.00
Captain America: The First Avenger,2020,2020-06-03,Friday,Summer,Disney,Metamorphosis,Action,100 to 150,78%,75%,"$17,512",$176.65,$191.75,$368.40,$140.00,263.14%,"-$1,213.00",$228.40,$65.06,"$7,800.00"
Green Lantern,2020,2020-06-03,Friday,Summer,Warner Bros.,Metamorphosis,Action,> 200,27%,48%,"$13,935",$116.60,$103.25,$219.85,$200.00,109.93%,-$845.00,$19.85,$53.17,"$2,700.00"
Footloose,2020,2020-06-03,Friday,Summer,Spyglass Entertainment,Transformation,Drama,< 50,71%,71%,"$4,383",$51.16,$10.90,$62.05,$24.00,258.54%,"-$1,062.00",$38.05,$15.56,"$7,100.00"
Invictus,2020,2020-05-29,Friday,Spring,Warner Bros.,Underdog,Biography,50 to 100,75%,74%,"$4,052",$37.49,$84.74,$122.23,$60.00,203.72%,"-$1,453.00",$62.23,$8.60,"$7,500.00"
The Lovely Bones,2020,2020-05-29,Friday,Spring,Paramount,Tragedy,Drama,50 to 100,32%,57%,"$6,635",$44.00,$50.78,$94.78,$65.00,145.82%,"-$1,801.00",$29.78,$17.00,"$3,200.00"
You Again,2020,2020-05-28,Friday,Spring,Independent,Comedy,Comedy,< 50,18%,45%,"$3,300",$25.70,$6.16,$31.86,$20.00,159.30%,"$2,888.00",$11.86,$8.40,"$1,800.00"
The Fighter,2020,2020-05-28,Friday,Spring,Paramount,Underdog,Drama,< 50,91%,88%,"$4,848",$93.00,$35.00,$128.00,$25.00,512.00%,"$2,708.00",$103.00,$12.00,"$9,100.00"
Real Steel,2020,2020-05-27,Friday,Spring,DreamWorks Pictures,Underdog,Action,100 to 150,58%,81%,"$7,942",$83.61,$186.20,$269.81,$110.00,245.28%,"$2,461.00",$159.81,$27.32,"$5,800.00"
Super 8,2020,2020-05-27,Friday,Spring,Paramount,Monster Force,Horror,50 to 100,82%,78%,"$10,492",$127.00,$132.71,$259.71,$50.00,519.42%,"-$1,789.00",$209.71,$35.45,"$8,200.00"
Margin Call,2020,2020-05-27,Friday,Spring,Independent,Sacrifice,Thriller,< 50,86%,73%,,$4.94,$3.93,$8.87,$3.50,253.43%,"-$1,501.00",$5.37,$0.56,"$8,600.00"
9,2020,2020-05-22,Friday,Spring,Focus,Sacrifice,Animation,< 50,57%,58%,"$10,398",$31.74,$16.67,$48.41,$30.00,161.37%,$719.00,$18.41,$10.70,"$5,700.00"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2020,2020-05-21,Friday,Spring,Fox,Quest,Adventure,150 to 200,49%,63%,"$6,752",$104.00,$311.00,$415.00,$155.00,267.74%,"$1,544.00",$260.00,$24.00,"$4,900.00"
Little Fockers,2020,2020-05-21,Friday,Spring,Independent,Comedy,Comedy,100 to 150,9%,40%,"$8,720",$123.69,$109.01,$232.70,$100.00,232.70%,"-$1,002.00",$132.70,$30.83,$900.00
The Big Year,2020,2020-05-13,Friday,Spring,Independent,Transformation,Comedy,< 50,38%,62%,"$1,513",$7.17,$0.24,$7.41,$41.00,18.07%,-$96.00,-$33.59,$3.25,"$3,800.00"
The Roommate,2020,2020-05-13,Friday,Spring,Independent,Monster Force,Horror,< 50,4%,29%,"$5,921",$37.30,$3.19,$40.49,$16.00,253.06%,-$931.00,$24.49,$15.00,$400.00
"Crazy, Stupid, Love",2020,2020-05-13,Friday,Spring,Warner Bros.,Discovery,Romance,50 to 100,78%,81%,"$6,326",$84.34,$58.50,$142.84,$50.00,285.68%,-$62.00,$92.84,$19.10,"$7,800.00"
Hotel for Dogs,2020,2020-05-08,Friday,Spring,Paramount,Comedy,Comedy,< 50,46%,57%,"$5,201",$73.00,$45.20,$118.20,$35.00,337.71%,"$2,103.00",$83.20,$17.00,"$4,600.00"
Did You Hear About the Morgans?,2020,2020-05-08,Friday,Spring,Sony,Comedy,Comedy,50 to 100,12%,31%,"$2,434",$29.58,$55.70,$85.28,$58.00,147.03%,"$2,618.00",$27.28,$6.60,"$1,200.00"
Sunshine Cleaning,2020,2020-05-08,Friday,Spring,Independent,Transformation,Comedy,< 50,72%,59%,"$1,527",$12.06,$4.51,$16.57,$5.00,331.40%,"$2,983.00",$11.57,$0.90,"$7,200.00"
Conviction,2020,2020-05-07,Friday,Spring,Independent,Rescue,Biography,< 50,68%,71%,"$2,424",$6.79,$2.92,$9.71,$12.50,77.68%,$179.00,-$2.79,$1.62,"$6,800.00"
Furry Vengeance	,2020,2020-05-07,Friday,Spring,Summit,Comedy,Comedy,< 50,8%,36%,"$2,211",$17.63,$18.34,$35.97,$35.00,102.77%,"-$1,422.00",$0.97,$6.60,$800.00
Cowboys and Aliens,2020,2020-05-06,Friday,Spring,Universal,Monster Force,Action,150 to 200,44%,50%,"$9,715",$100.24,$74.58,$174.82,$163.00,107.25%,"-$1,631.00",$11.82,$36.43,"$4,400.00"
The Ides of March,2020,2020-05-06,Friday,Spring,Columbia,Transformation,Thriller,< 50,85%,76%,"$4,761",$40.49,$13.70,$54.19,$12.50,433.52%,$533.00,$41.69,$10.47,"$8,500.00"
Limitless,2020,2020-05-06,Friday,Spring,Virgin,Wretched Excess,Thriller,< 50,69%,73%,"$6,860",$79.25,$82.60,$161.85,$27.00,599.44%,"$2,737.00",$134.85,$18.91,"$6,900.00"
Night at the Museum: Battle of the Smithsonian,2020,2020-05-06,Wednesday,Spring,Fox,Quest,Action,150 to 200,43%,60%,"$13,226",$177.20,$235.80,$413.00,$150.00,275.33%,$300.00,$263.00,$54.20,"$4,300.00"
Bride Wars,2020,2020-05-06,Wednesday,Spring,Fox,Comedy,Comedy,< 50,11%,56%,"$6,528",$58.75,$56.43,$115.15,$30.00,383.83%,-$506.00,$85.15,$21.10,"$1,100.00"
Push,2020,2020-05-01,Friday,Spring,Summit,Quest,Action,< 50,22%,47%,"$4,358",$31.81,$17.04,$48.85,$38.00,128.55%,"$1,438.00",$10.85,$10.10,"$2,200.00"
Up,2020,2020-05-01,Friday,Spring,Disney,Journey and Return,Animation,150 to 200,98%,86%,"$18,085",$293.00,$438.30,$731.30,$175.00,417.89%,-$786.00,$556.30,$68.10,"$9,800.00"
Extract,2020,2020-05-01,Friday,Spring,Miramax,Comedy,Comedy,< 50,62%,37%,"$2,694",$10.80,$0.03,$10.83,$7.50,144.40%,$613.00,$3.33,$4.30,"$6,200.00"
Jonah Hex,2020,2020-04-30,Friday,Spring,Warner Bros.,Revenge,Action,< 50,13%,24%,"$1,904",$10.55,$0.36,$10.91,$47.00,23.21%,"$1,994.00",-$36.09,$5.40,"$1,300.00"
Winter's Bone,2020,2020-04-30,Friday,Spring,Independent,Quest,Drama,< 50,94%,73%,,$6.25,$1.54,$7.79,$2.00,389.50%,"-$1,998.00",$5.79,$0.80,"$9,400.00"
Extremely Loud and Incredibly Close,2020,2020-04-29,Friday,Spring,Warner Bros.,,Drama,< 50,47%,62%,"$3,820",$31.59,$14.40,$45.99,$40.00,114.98%,"$2,757.00",$5.99,$10.04,"$4,700.00"
Beastly,2020,2020-04-29,Friday,Spring,CBS Films,Metamorphosis,Romance,< 50,19%,50%,"$5,047",$27.87,$0.97,$28.83,$17.00,169.59%,"$2,212.00",$11.83,$9.85,"$1,900.00"
Ice Age: Dawn of the Dinosaurs,2020,2020-04-24,Friday,Spring,Fox,Quest,Animation,50 to 100,45%,72%,"$10,171",$196.57,$690.11,$886.68,$90.00,985.20%,$830.00,$796.68,$41.70,"$4,500.00"
Fired Up!,2020,2020-04-24,Friday,Spring,Independent,Comedy,Comedy,< 50,22%,52%,"$3,030",$17.20,$1.40,$18.60,$20.00,93.00%,"-$1,187.00",-$1.40,$5.50,"$2,200.00"
Alice in Wonderland,2020,2020-04-23,Friday,Spring,Disney,Journey and Return,Adventure,> 200,52%,72%,"$31,143",$334.19,$690.20,"$1,024.39",$200.00,512.20%,$767.00,$824.39,$116.10,"$5,200.00"
Due Date,2020,2020-04-23,Friday,Spring,Warner Bros.,Comedy,Comedy,50 to 100,40%,56%,"$9,743",$99.65,$100.90,$200.55,$50.00,401.10%,"$1,374.00",$150.55,$32.69,$400.00
Abduction,2020,2020-04-22,Friday,Spring,Vertigo Entertainment,Maturation,Action,< 50,4%,46%,"$3,504",$28.07,$54.00,$82.07,$35.00,234.49%,"$1,718.00",$47.07,$10.93,$400.00
Paranormal Activity 3,2020,2020-04-22,Friday,Spring,Independent,Monster Force,Horror,< 50,68%,58%,"$15,829",$103.66,$98.24,$201.90,$5.00,4038.00%,-$943.00,$196.90,$52.57,"$6,800.00"
Fast and Furious,2020,2020-04-17,Friday,Spring,Universal,Revenge,Action,50 to 100,28%,76%,"$20,500",$155.10,$208.00,$363.10,$85.00,427.18%,$500.00,$278.10,$70.90,"$2,800.00"
Coraline,2020,2020-04-17,Friday,Spring,Universal,Journey and Return,Animation,50 to 100,89%,77%,"$7,329",$75.28,$49.30,$124.58,$60.00,207.63%,-$884.00,$64.58,$16.80,"$8,900.00"
The Informant!,2020,2020-04-17,Friday,Spring,Warner Bros.,Comedy,Comedy,< 50,78%,42%,"$4,177",$33.31,$8.45,$41.76,$22.00,189.82%,"$1,317.00",$19.76,$10.50,"$7,800.00"
Just Wright,2020,2020-04-16,Friday,Spring,Fox,Love,Comedy,< 50,45%,58%,"$4,525",$21.54,$0.03,$21.57,$12.00,179.75%,"$1,385.00",$9.57,$8.30,"$4,500.00"
Easy A,2020,2020-04-16,Friday,Spring,Sony,Maturation,Comedy,< 50,85%,75%,"$6,209",$58.40,$15.24,$73.64,$8.00,920.50%,"-$1,622.00",$65.64,$17.70,"$8,500.00"
Solitary Man,2020,2020-04-16,Friday,Spring,Independent,Wretched Excess,Comedy,< 50,81%,47%,"$23,734",$4.36,$0.70,$5.06,$15.00,33.73%,"-$1,069.00",-$9.94,$0.09,"$8,100.00"
The Ghost Writer,2020,2020-04-16,Friday,Spring,Summit,The Riddle,Mystery,< 50,83%,68%,"$2,520",$15.54,$44.48,$60.02,$45.00,133.38%,"$1,530.00",$15.02,$2.00,"$8,300.00"
The Muppets,2020,2020-04-15,Friday,Spring,Disney,Quest,Comedy,< 50,97%,87%,"$8,500",$88.54,$69.80,$158.34,$45.00,351.87%,"$2,879.00",$113.34,$29.24,"$9,700.00"
The Beaver,2020,2020-04-15,Friday,Spring,Summit Entertainment,Transformation,Drama,< 50,62%,57%,"$4,890",$0.97,$5.40,$6.37,$21.00,30.33%,"$1,951.00",-$14.63,$0.11,"$6,200.00"
Jennifer's Body,2020,2020-04-15,Wednesday,Spring,Fox,Monster Force,Comedy,< 50,42%,37%,"$2,542",$16.20,$15.35,$31.55,$16.00,197.19%,"-$1,233.00",$15.55,$6.90,"$4,200.00"
Taking Woodstock,2020,2020-04-15,Wednesday,Spring,Focus,Quest,Comedy,< 50,48%,48%,"$2,482",$7.50,$2.50,$10.00,$29.00,34.48%,$125.00,-$19.00,$3.50,"$4,800.00"
The Dilemma,2020,2020-04-13,Wednesday,Spring,Spyglass Entertainment,Comedy,Comedy,50 to 100,23%,31%,"$6,060",$48.50,$21.20,$69.70,$70.00,99.57%,$869.00,-$0.30,$17.80,"$2,300.00"
Scream 4,2020,2020-04-13,Wednesday,Spring,Weinstein Company,Monster Force,Horror,< 50,58%,57%,"$5,656",$38.18,$58.96,$97.14,$40.00,242.85%,$512.00,$57.14,$18.69,"$5,800.00"
District 9,2020,2020-04-10,Friday,Spring,Independent,Metamorphosis,Action,< 50,91%,81%,"$12,251",$115.60,$95.17,$210.77,$30.00,702.57%,"-$1,807.00",$180.77,$37.40,"$9,100.00"
Fame,2020,2020-04-10,Friday,Spring,MGM,Maturation,Comedy,< 50,25%,43%,"$3,234",$22.50,$55.50,$78.00,$18.00,433.33%,$757.00,$60.00,$10.00,"$2,500.00"
Not Easily Broken,2020,2020-04-10,Friday,Spring,Independent,Love,Drama,< 50,34%,66%,"$7,340",$10.60,$0.14,$10.70,$5.00,214.00%,-$625.00,$5.70,$5.30,"$3,400.00"
From Paris with Love,2020,2020-04-09,Friday,Spring,Independent,Pursuit,Action,50 to 100,38%,57%,"$2,997",$24.08,$28.72,$52.80,$52.00,101.54%,"$2,649.00",$0.80,$8.20,"$3,800.00"
Grown Ups	,2020,2020-04-09,Friday,Spring,Independent,Comedy,Comedy,50 to 100,10%,59%,"$11,462",$161.90,$105.50,$267.40,$80.00,334.25%,$24.00,$187.40,$40.50,$100.00
Knucklehead,2020,2020-04-09,Friday,Spring,WWE Studios,Comedy,Comedy,,10%,35%,,,,$0.00,,,-$820.00,,,$100.00
The Mechanic,2020,2020-04-08,Friday,Spring,Independent,Revenge,Action,< 50,53%,52%,"$4,226",$29.20,$22.00,$51.20,$40.00,128.00%,"$1,376.00",$11.20,$11.40,"$5,300.00"
Bad Teacher,2020,2020-04-08,Friday,Spring,Independent,Comedy,Comedy,< 50,44%,38%,"$10,365",$100.29,$115.90,$216.20,$20.00,1081.00%,-$522.00,$196.20,$31.60,"$4,400.00"
We Bought a Zoo,2020,2020-04-08,Friday,Spring,Fox,,Comedy,50 to 100,63%,79%,"$3,003",$74.48,$26.70,$101.18,$50.00,202.36%,-$12.00,$51.18,$9.36,"$6,300.00"
The Girl With The Dragon Tattoo,2020,2020-04-08,Friday,Spring,Sony,,Thriller,50 to 100,87%,89%,"$4,382",$102.06,$127.13,$229.19,$90.00,254.66%,$30.00,$139.19,$12.76,"$8,700.00"
Megamind,2020,2020-04-07,Wednesday,Spring,Paramount,Transformation,Animation,100 to 150,72%,73%,"$11,668",$144.67,$173.46,$318.13,$130.00,244.72%,"-$1,301.00",$188.13,$46.02,"$7,200.00"
The Company Men,2020,2020-04-07,Wednesday,Spring,Independent,Discovery,Drama,,66%,56%,,,,$0.00,,,"$2,488.00",,,"$6,600.00"
Underworld: Rise of the Lycans,2020,2020-04-03,Friday,Spring,Sony,Rivalry,Action,< 50,30%,68%,"$7,080",$45.80,$45.55,$91.35,$35.00,261.00%,"-$1,990.00",$56.35,$20.80,$300.00
The Road,2020,2020-04-03,Friday,Spring,The Weinstein Company,Quest,Adventure,< 50,75%,65%,"$13,534",$7.90,$19.51,$27.41,$25.00,109.64%,-$544.00,$2.41,$1.50,"$7,500.00"
Imagine That,2020,2020-04-03,Friday,Spring,Paramount,Comedy,Comedy,50 to 100,38%,44%,"$1,830",$16.12,$6.86,$22.99,$55.00,41.80%,-$629.00,-$32.01,$5.50,"$3,800.00"
Brothers,2020,2020-04-03,Friday,Spring,Lionsgate,Transformation,Drama,< 50,61%,62%,"$4,563",$28.50,$14.77,$43.27,$26.00,166.42%,"-$1,886.00",$17.27,$9.50,"$6,100.00"
Knight and Day,2020,2020-04-02,Friday,Spring,Fox,Pursuit,Action,100 to 150,53%,52%,"$6,501",$76.42,$185.26,$261.68,$117.00,223.66%,"$2,021.00",$144.68,$20.20,"$5,300.00"
Date Night,2020,2020-04-02,Friday,Spring,Fox,Pursuit,Comedy,50 to 100,66%,58%,"$7,471",$98.71,$53.55,$152.26,$55.00,276.84%,"$1,619.00",$97.26,$25.20,"$6,600.00"
Anonymous,2020,2020-04-01,Friday,Spring,Relativity Media,Tragedy,Drama,< 50,46%,66%,"$3,856",$4.46,$9.73,$14.19,$30.00,47.30%,"$1,814.00",-$15.81,$1.02,"$4,600.00"
Soul Surfer,2020,2020-04-01,Friday,Spring,Sony,Underdog,Drama,< 50,46%,79%,"$4,789",$43.85,$0.41,$44.27,$18.00,245.94%,"-$1,338.00",$26.27,$10.60,"$4,600.00"
Harry Potter and the Deathly Hallows Part 2,2020,2020-04-01,Friday,Spring,Warner Bros.,Rivalry,Fantasy,100 to 150,96%,92%,"$38,672",$381.01,$947.10,"$1,328.11",$125.00,1062.49%,"$1,726.00","$1,203.11",$169.19,"$9,600.00"
Insidious,2020,2020-04-01,Friday,Spring,Sony,Monster Force,Horror,< 50,67%,65%,"$5,511",$54.01,$43.00,$97.01,$1.50,6467.33%,"$2,127.00",$95.51,$13.27,"$6,700.00"
Hannah Montana: The Movie,2020,2020-03-27,Friday,Spring,Disney,Maturation,Comedy,< 50,44%,66%,"$10,367",$79.58,$70.52,$150.10,$35.00,428.86%,"$2,152.00",$115.10,$32.30,"$4,400.00"
Cats & Dogs: The Revenge of Kitty Galore,2020,2020-03-26,Friday,Spring,Independent,Pursuit,Action,50 to 100,13%,43%,"$3,314",$43.59,$68.90,$112.49,$85.00,132.34%,$531.00,$27.49,$12.30,"$1,300.00"
Unstoppable,2020,2020-03-26,Friday,Spring,Fox,Rescue,Action,50 to 100,86%,73%,"$7,075",$81.56,$87.94,$169.50,$95.00,178.42%,"$2,402.00",$74.50,$22.69,"$8,600.00"
Iron Man 2,2020,2020-03-26,Friday,Spring,Paramount,Rivalry,Action,> 200,74%,80%,"$29,252",$312.43,$309.62,$622.05,$200.00,311.03%,"$2,302.00",$422.05,$128.10,"$7,400.00"
All About Steve,2020,2020-03-26,Friday,Spring,Independent,Comedy,Comedy,< 50,6%,35%,"$4,994",$33.86,$6.26,$40.12,$15.00,267.47%,"-$1,926.00",$25.12,$11.20,$600.00
The Joneses,2020,2020-03-26,Friday,Spring,Independent,Temptation,Comedy,< 50,61%,47%,,$1.48,$0.49,$1.97,$10.00,19.70%,"$1,866.00",-$8.03,$0.51,"$6,100.00"
Mission Impossible 4,2020,2020-03-25,Friday,Spring,Paramount,Pursuit,Action,100 to 150,93%,86%,"$8,672",$208.38,$480.40,$688.78,$145.00,475.02%,"-$1,929.00",$543.78,$29.55,"$9,300.00"
Beginners,2020,2020-03-25,Friday,Spring,Independent,Love,Comedy,< 50,84%,80%,"$28,268",$5.79,$8.52,$14.31,$3.20,447.19%,"$2,439.00",$11.11,$0.14,"$8,400.00"
Dragonball Evolution,2020,2020-03-20,Friday,Spring,Fox,Quest,Action,< 50,15%,28%,"$2,181",$9.36,$48.87,$58.23,$30.00,194.10%,$822.00,$28.23,$4.80,"$1,500.00"
Street Fighter: The Legend of Chun-Li,2020,2020-03-20,Friday,Spring,Fox,Revenge,Action,50 to 100,16%,28%,"$4,156",$9.14,$3.20,$12.34,$50.00,24.68%,"$1,730.00",-$37.66,$4.70,"$1,600.00"
The Pink Panther 2,2020,2020-03-20,Friday,Spring,Sony,Comedy,Adventure,50 to 100,12%,47%,"$3,573",$35.92,$40.02,$75.94,$59.00,128.71%,$950.00,$16.94,$11.60,"$1,200.00"
Brooklyn's Finest,2020,2020-03-19,Friday,Spring,Independent,Temptation,Action,< 50,42%,47%,"$6,896",$27.20,$9.15,$36.35,$17.00,213.82%,"$2,644.00",$19.35,$13.40,"$4,200.00"
Dinner for Schmucks,2020,2020-03-19,Friday,Spring,Paramount,Comedy,Comedy,50 to 100,43%,47%,"$8,082",$73.03,$13.38,$86.41,$69.00,125.23%,"$1,403.00",$17.41,$23.50,"$4,300.00"
Life as We Know It,2020,2020-03-19,Friday,Spring,Independent,Love,Comedy,< 50,28%,62%,"$4,605",$53.13,$43.03,$96.16,$38.00,253.05%,$318.00,$58.16,$14.50,"$2,800.00"
Your Highness,2020,2020-03-18,Friday,Spring,Universal,Comedy,Comedy,< 50,26%,36%,"$3,380",$21.60,$3.26,$24.86,$49.90,49.82%,$146.00,-$25.04,$9.36,"$2,600.00"
The Descendants,2020,2020-03-18,Friday,Spring,20th Century Fox,Discovery,Drama,< 50,89%,88%,"$5,000",$81.45,$86.20,$167.65,$20.00,838.25%,$326.00,$147.65,$4.38,"$8,900.00"
Twilight: Breaking Dawn,2020,2020-03-18,Friday,Spring,Independent,Love,Romance,100 to 150,26%,68%,"$34,012",$281.17,$421.00,$702.17,$110.00,638.34%,-$855.00,$592.17,$138.12,"$2,600.00"
The Back-up Plan,2020,2020-03-17,Wednesday,Spring,CBS,Love,Comedy,< 50,20%,47%,"$3,720",$37.49,$39.60,$77.09,$35.00,220.26%,"-$1,773.00",$42.09,$12.20,$200.00
I Love You Phillip Morris,2020,2020-03-17,Wednesday,Spring,Independent,Love,Comedy,< 50,71%,57%,,$1.44,$18.66,$20.10,$15.00,134.00%,$905.00,$5.10,$0.11,"$7,100.00"
Gamer,2020,2020-03-13,Friday,Spring,Lionsgate,Revenge,Action,< 50,29%,43%,"$3,659",$20.53,$20.29,$40.82,$12.50,326.56%,"$1,275.00",$28.32,$9.15,"$2,900.00"
Watchmen,2020,2020-03-13,Friday,Spring,Warner Bros.,Sacrifice,Action,100 to 150,64%,68%,"$15,291",$107.50,$77.70,$185.30,$130.00,142.54%,-$399.00,$55.30,$55.20,"$6,400.00"
Inglourious Basterds,2020,2020-03-13,Friday,Spring,Universal,Underdog,Adventure,50 to 100,88%,87%,"$12,024",$120.50,$200.91,$321.41,$70.00,459.16%,"$1,891.00",$251.41,$38.00,"$8,800.00"
Cloudy with a Chance of Meatballs,2020,2020-03-13,Friday,Spring,Sony,Comedy,Animation,100 to 150,86%,70%,"$9,716",$124.90,$118.13,$243.03,$100.00,243.03%,"$1,683.00",$143.03,$30.30,"$8,600.00"
Sex and the City 2,2020,2020-03-12,Friday,Spring,Warner Bros.,Love,Comedy,100 to 150,15%,49%,"$8,999",$95.35,$193.00,$288.35,$100.00,288.35%,"-$1,750.00",$188.35,$31.00,"$1,500.00"
Love & Other Drugs,2020,2020-03-12,Friday,Spring,Fox,Love,Comedy,< 50,48%,55%,"$3,967",$31.68,$22.85,$54.53,$30.00,181.77%,$30.00,$24.53,$9.74,"$4,800.00"
Immortals,2020,2020-03-11,Friday,Spring,Relativity Media,Revenge,Action,50 to 100,36%,59%,"$10,349",$80.49,$102.00,$182.49,$75.00,243.32%,"-$1,928.00",$107.49,$32.21,"$3,600.00"
Our Idiot Brother,2020,2020-03-11,Friday,Spring,The Weinstein Company,Comedy,Comedy,< 50,68%,79%,"$2,744",$24.82,,$24.82,$5.00,496.40%,"$1,887.00",$19.82,$7.01,"$6,800.00"
The Iron Lady,2020,2020-03-11,Friday,Spring,Weinstein Company,,Drama,< 50,53%,54%,"$6,749",$27.94,$53.47,$81.41,$13.00,626.23%,$836.00,$68.41,$5.41,"$5,300.00"
Winnie The Pooh,2020,2020-03-09,Wednesday,Spring,Disney,Quest,Animation,< 50,91%,79%,"$3,267",$26.69,$6.46,$33.15,$30.00,110.50%,-$170.00,$3.15,$7.86,"$9,100.00"
In Time,2020,2020-03-09,Wednesday,Spring,Regency Enterprises,The Riddle,Thriller,< 50,38%,55%,"$3,860",$36.49,$90.90,$127.39,$40.00,318.48%,"$1,488.00",$87.39,$12.05,"$3,800.00"
The Princess and the Frog,2020,2020-03-06,Friday,Spring,Disney,Metamorphosis,Animation,100 to 150,84%,72%,"$7,050",$104.40,$162.64,$267.04,$105.00,254.32%,"$2,746.00",$162.04,$24.20,"$8,400.00"
17 Again,2020,2020-03-06,Friday,Spring,Independent,Maturation,Comedy,< 50,55%,70%,"$7,288",$64.20,$72.10,$136.30,$20.00,681.50%,$789.00,$116.30,$23.70,"$5,500.00"
Post Grad,2020,2020-03-06,Friday,Spring,Fox,Maturation,Comedy,< 50,7%,31%,"$1,354",$6.38,$0.00,$6.38,$15.00,42.53%,"-$1,265.00",-$8.62,$2.60,$700.00
A Perfect Getaway,2020,2020-03-06,Friday,Spring,Universal,Escape,Mystery,< 50,61%,50%,"$2,755",$15.50,$7.33,$22.83,$14.00,163.07%,-$889.00,$8.83,$5.90,"$6,100.00"
Shrek Forever After,2020,2020-03-05,Friday,Spring,Paramount,Journey and Return,Animation,150 to 200,57%,64%,"$16,251",$238.74,$510.06,$748.80,$165.00,453.82%,"-$1,839.00",$583.80,$70.80,"$5,700.00"
Get Him to the Greek,2020,2020-03-05,Friday,Spring,Universal,Comedy,Comedy,< 50,73%,63%,"$6,515",$60.97,$30.42,$91.39,$40.00,228.48%,"$2,772.00",$51.39,$17.60,"$7,300.00"
Eat Pray Love	,2020,2020-03-05,Friday,Spring,Sony,Journey and Return,Drama,50 to 100,36%,46%,"$7,497",$80.57,$123.91,$204.48,$60.00,340.80%,-$172.00,$144.48,$23.10,"$3,600.00"
Hall Pass,2020,2020-03-04,Friday,Spring,Warner Bros.,Temptation,Comedy,< 50,35%,44%,"$4,588",$45.06,$38.10,$83.16,$36.00,231.00%,"$1,718.00",$47.16,$13.54,"$3,500.00"
What's Your Number,2020,2020-03-04,Friday,Spring,20th Century Fox,Transformation,Comedy,< 50,24%,50%,"$1,806",$14.01,$16.42,$30.43,$20.00,152.15%,-$696.00,$10.43,$5.42,"$2,400.00"
Our Family Wedding,2020,2020-03-03,Wednesday,Spring,Independent,Love,Comedy,,14%,49%,"$4,754",$20.26,$1.11,$21.37,,,$664.00,,$7.60,"$1,400.00"
The Killer Inside Me,2020,2020-03-03,Wednesday,Spring,Independent,The Riddle,Crime,< 50,56%,41%,,$0.22,$3.36,$3.58,$13.00,27.54%,"$2,852.00",-$9.42,$11.10,"$5,600.00"
X-Men Origins: Wolverine,2020,2020-02-27,Friday,Winter,Fox,Revenge,Action,150 to 200,37%,72%,"$20,751",$179.90,$193.20,$373.10,$150.00,248.73%,"-$1,784.00",$223.10,$85.10,"$3,700.00"
I Love You Beth Cooper,2020,2020-02-27,Friday,Winter,Fox,Comedy,Comedy,< 50,14%,38%,"$2,648",$14.80,$1.58,$16.38,$18.00,91.00%,$168.00,-$1.62,$4.90,"$1,400.00"
Death at a Funeral,2020,2020-02-26,Friday,Winter,Independent,Comedy,Comedy,< 50,40%,48%,"$6,595",$42.74,$6.31,$49.05,$21.00,233.57%,"$2,733.00",$28.05,$16.20,$400.00
J.Edgar,2020,2020-02-25,Friday,Winter,Warner Bros.,Wretched Excess,Drama,< 50,42%,84%,"$5,873",$37.39,$35.80,$73.19,$35.00,209.11%,"$2,191.00",$38.19,$11.22,"$4,200.00"
Dream House,2020,2020-02-25,Friday,Winter,Morgan Creek Productions,The Riddle,Horror,50 to 100,7%,38%,"$3,055",$21.30,$17.20,$38.50,$50.00,77.00%,$816.00,-$11.50,$8.13,$700.00
Race to Witch Mountain,2020,2020-02-20,Friday,Winter,Buena Vista,Quest,Action,50 to 100,42%,50%,"$7,651",$67.17,$39.21,$106.38,$50.00,212.76%,"$2,584.00",$56.38,$24.40,"$4,200.00"
Notorious,2020,2020-02-20,Friday,Winter,Fox,Tragedy,Biography,< 50,50%,66%,"$12,514",$36.84,$7.52,$44.36,$20.00,221.80%,-$575.00,$24.36,$20.50,$500.00
The Men Who Stare at Goats,2020,2020-02-20,Friday,Winter,Independent,Comedy,Comedy,< 50,52%,43%,"$5,201",$32.40,$36.54,$68.94,$25.00,275.76%,"$2,634.00",$43.94,$12.70,"$5,200.00"
Prince of Persia: The Sands of Time,2020,2020-02-19,Friday,Winter,Disney,Rivalry,Action,> 200,36%,71%,"$8,254",$90.76,$244.39,$335.15,$200.00,167.58%,"$1,624.00",$135.15,$30.00,"$3,600.00"
Wall Street: Money Never Sleeps,2020,2020-02-19,Friday,Winter,Independent,Rivalry,Drama,50 to 100,54%,43%,"$5,333",$52.47,$78.16,$130.63,$70.00,186.61%,-$193.00,$60.63,$19.00,"$5,400.00"
Hachiko: A Dog's Story,2020,2020-02-19,Friday,Winter,Independent,Sacrifice,Drama,< 50,58%,85%,,$0.00,$40.26,$40.26,$16.00,251.63%,"-$1,174.00",$24.26,$18.00,"$5,800.00"
